n_people,window1,window2,window3,window4,room_size,date,time,ext_temperature,shutter1,shutter2,shutter3,shutter4,temperature,co2,pressure,brightness,humidity
1,0,1,0,0,25,2024-06-01,00:00:01,16.7,1.0,1.0,1.0,1.0,21.0,325.58407693260045,1.0,0.0,64.92
1,0,1,0,0,25,2024-06-01,00:01:00,16.3,1.0,1.0,1.0,1.0,21.0,329.9469409720158,1.0,0.0,42.77
2,0,1,0,0,25,2024-06-01,00:02:00,15.8,1.0,1.0,1.0,1.0,21.0,391.3018120971961,1.01,0.0,49.84
2,0,1,0,0,25,2024-06-01,00:03:00,15.6,1.0,1.0,1.0,1.0,21.0,352.42454855265134,1.01,0.0,68.15
2,0,1,0,0,25,2024-06-01,00:04:00,15.4,1.0,1.0,1.0,1.0,21.0,344.26949711040595,1.01,0.0,59.99
2,0,1,0,0,25,2024-06-01,00:05:00,15.1,1.0,1.0,1.0,1.0,21.0,344.140455556769,1.01,0.0,59.38
2,0,1,0,0,25,2024-06-01,00:06:00,15.0,1.0,1.0,1.0,1.0,21.0,396.44707123018645,1.01,0.0,47.54
1,0,1,0,0,25,2024-06-01,00:07:00,15.0,1.0,1.0,1.0,1.0,21.0,335.20761313885504,1.0,0.0,63.21
1,0,1,0,0,25,2024-06-01,00:08:00,15.0,1.0,1.0,1.0,1.0,21.0,332.28236215451057,1.0,0.0,66.08
1,0,1,0,0,25,2024-06-01,00:09:00,15.0,1.0,1.0,1.0,1.0,21.0,344.3263574302375,1.0,0.0,67.47
1,0,1,0,0,25,2024-06-01,00:10:00,15.0,1.0,1.0,1.0,1.0,21.0,345.0747778373155,1.0,0.0,53.81
1,0,1,0,0,25,2024-06-01,00:11:00,15.0,1.0,1.0,1.0,1.0,21.0,329.9657309934681,0.99,0.0,52.9
2,0,1,0,0,25,2024-06-01,00:12:00,15.0,1.0,1.0,1.0,1.0,21.0,381.6170834484277,1.0,0.0,52.99
2,0,1,0,0,25,2024-06-01,00:13:00,15.0,1.0,1.0,1.0,1.0,21.0,386.2673689511132,1.0,0.0,57.28
2,0,1,0,0,25,2024-06-01,00:14:00,15.0,1.0,1.0,1.0,1.0,21.0,379.2790412119573,1.0,0.0,69.06
2,0,1,0,0,25,2024-06-01,00:15:00,15.0,1.0,1.0,1.0,1.0,21.0,349.09570448800594,1.0,0.0,49.41
2,0,1,0,0,25,2024-06-01,00:16:00,15.0,1.0,1.0,1.0,1.0,21.0,392.55298501102345,1.0,0.0,56.3
2,0,1,0,0,25,2024-06-01,00:17:00,15.0,1.0,1.0,1.0,1.0,21.0,372.3456731641605,1.0,0.0,51.64
2,0,1,0,0,25,2024-06-01,00:18:00,15.0,1.0,1.0,1.0,1.0,21.0,356.9483455822002,1.0,0.0,42.04
2,0,1,0,0,25,2024-06-01,00:19:00,15.0,1.0,1.0,1.0,1.0,21.0,365.5136911262616,1.0,0.0,43.62
2,0,1,0,0,25,2024-06-01,00:20:00,15.0,1.0,1.0,1.0,1.0,21.0,342.25426542393444,1.0,0.0,66.42
2,0,1,0,0,25,2024-06-01,00:21:00,15.0,1.0,1.0,1.0,1.0,21.0,347.67200807334507,1.0,0.0,42.05
2,0,1,0,0,25,2024-06-01,00:22:00,15.0,1.0,1.0,1.0,1.0,21.0,385.9328050309516,1.0,0.0,30.69
2,0,1,0,0,25,2024-06-01,00:23:00,15.0,1.0,1.0,1.0,1.0,21.0,340.000698085322,1.0,0.0,32.62
2,0,1,0,0,25,2024-06-01,00:24:00,15.0,1.0,1.0,1.0,1.0,21.0,364.9939497089375,1.0,0.0,48.73
2,0,1,0,0,25,2024-06-01,00:25:00,15.0,1.0,1.0,1.0,1.0,21.0,371.3506108651353,1.0,0.0,34.74
2,0,1,0,0,25,2024-06-01,00:26:00,15.0,1.0,1.0,1.0,1.0,21.0,343.27806520005834,1.0,0.0,45.06
2,0,1,0,0,25,2024-06-01,00:27:00,15.0,1.0,1.0,1.0,1.0,21.0,398.38468977834,1.0,0.0,37.33
2,0,1,0,0,25,2024-06-01,00:28:00,15.0,1.0,1.0,1.0,1.0,21.0,353.56751987498035,1.0,0.0,53.62
2,0,1,0,0,25,2024-06-01,00:29:00,15.0,1.0,1.0,1.0,1.0,21.0,358.25192317817687,1.0,0.0,31.32
1,0,1,0,0,25,2024-06-01,00:30:00,15.0,1.0,1.0,1.0,1.0,21.0,329.1182753676508,0.99,0.0,47.29
1,0,1,0,0,25,2024-06-01,00:31:00,15.0,1.0,1.0,1.0,1.0,21.0,326.9124998635205,0.99,0.0,41.78
1,0,1,0,0,25,2024-06-01,00:32:00,15.0,1.0,1.0,1.0,1.0,21.0,320.0442146625893,0.99,0.0,55.6
1,0,1,0,0,25,2024-06-01,00:33:00,15.0,1.0,1.0,1.0,1.0,21.0,341.8803438226399,0.98,0.0,69.86
2,0,1,0,0,25,2024-06-01,00:34:00,15.0,1.0,1.0,1.0,1.0,21.0,398.0107299879571,0.99,0.0,35.87
3,0,1,0,0,25,2024-06-01,00:35:00,15.0,1.0,1.0,1.0,1.0,21.0,380.1864134956541,1.0,0.0,62.28
3,0,1,0,0,25,2024-06-01,00:36:00,15.0,1.0,1.0,1.0,1.0,21.0,419.674247262308,1.0,0.0,34.7
3,0,1,0,0,25,2024-06-01,00:37:00,15.0,1.0,1.0,1.0,1.0,21.0,426.7706694262844,1.0,0.0,32.28
2,0,1,0,0,25,2024-06-01,00:38:00,15.0,1.0,1.0,1.0,1.0,21.0,390.9055227454315,0.99,0.0,48.31
2,0,1,0,0,25,2024-06-01,00:39:00,15.0,1.0,1.0,1.0,1.0,21.0,365.3577518208165,0.99,0.0,49.47
2,0,1,0,0,25,2024-06-01,00:40:00,15.0,1.0,1.0,1.0,1.0,21.0,358.1758543384258,0.99,0.0,36.81
2,0,1,0,0,25,2024-06-01,00:41:00,15.0,1.0,1.0,1.0,1.0,21.0,359.51770804138187,0.99,0.0,62.92
2,0,1,0,0,25,2024-06-01,00:42:00,15.0,1.0,1.0,1.0,1.0,21.0,382.7572799859108,0.99,0.0,65.28
1,0,1,0,0,25,2024-06-01,00:43:00,15.0,1.0,1.0,1.0,1.0,21.0,344.5033839951691,0.98,0.0,61.99
2,0,1,0,0,25,2024-06-01,00:44:00,15.0,1.0,1.0,1.0,1.0,21.0,350.89683806539614,0.99,0.0,69.35
2,0,1,0,0,25,2024-06-01,00:45:00,15.0,1.0,1.0,1.0,1.0,21.0,362.2564604894659,0.99,0.0,39.8
2,0,1,0,0,25,2024-06-01,00:46:00,15.0,1.0,1.0,1.0,1.0,21.0,394.116411804949,0.99,0.0,63.74
2,0,1,0,0,25,2024-06-01,00:47:00,15.0,1.0,1.0,1.0,1.0,21.0,388.4016111816844,0.99,0.0,43.41
2,0,1,0,0,25,2024-06-01,00:48:00,15.0,1.0,1.0,1.0,1.0,21.0,399.0915041657486,0.99,0.0,61.91
2,0,1,0,0,25,2024-06-01,00:49:00,15.0,1.0,1.0,1.0,1.0,21.0,385.2548955809249,0.99,0.0,51.48
2,0,1,0,0,25,2024-06-01,00:50:00,15.0,1.0,1.0,1.0,1.0,21.0,363.59171206167537,0.99,0.0,38.34
3,0,1,0,0,25,2024-06-01,00:51:00,15.0,1.0,1.0,1.0,1.0,21.0,413.1574050595174,1.0,0.0,33.38
3,0,1,0,0,25,2024-06-01,00:52:00,15.0,1.0,1.0,1.0,1.0,21.0,419.4912828822588,1.0,0.0,68.04
4,0,1,0,0,25,2024-06-01,00:53:00,15.0,1.0,1.0,1.0,1.0,21.0,389.4146979580549,1.01,0.0,35.98
4,0,1,0,0,25,2024-06-01,00:54:00,15.0,1.0,1.0,1.0,1.0,21.0,445.3396350924638,1.01,0.0,49.79
4,0,1,0,0,25,2024-06-01,00:55:00,15.0,1.0,1.0,1.0,1.0,21.0,465.1184994167131,1.01,0.0,47.34
5,0,1,0,0,25,2024-06-01,00:56:00,15.0,1.0,1.0,1.0,1.0,21.0,425.09819560015904,1.02,0.0,54.15
4,0,1,0,0,25,2024-06-01,00:57:00,15.0,1.0,1.0,1.0,1.0,21.0,473.6758060910669,1.01,0.0,48.04
4,0,1,0,0,25,2024-06-01,00:58:00,15.0,1.0,1.0,1.0,1.0,21.0,450.0527336616934,1.01,0.0,32.98
3,0,1,0,0,25,2024-06-01,00:59:00,15.0,1.0,1.0,1.0,1.0,21.0,445.69996071278354,1.0,0.0,51.79
3,0,1,0,0,25,2024-06-01,01:00:00,15.0,1.0,1.0,1.0,1.0,21.0,363.81800683862025,1.0,0.0,46.18
3,0,1,0,0,25,2024-06-01,01:01:00,15.0,1.0,1.0,1.0,1.0,21.0,383.879352379992,1.0,0.0,69.12
3,0,1,0,0,25,2024-06-01,01:02:00,15.0,1.0,1.0,1.0,1.0,21.0,414.13984913698414,1.0,0.0,67.3
3,0,1,0,0,25,2024-06-01,01:03:00,15.0,1.0,1.0,1.0,1.0,21.0,386.6903920985338,1.0,0.0,64.06
3,0,1,0,0,25,2024-06-01,01:04:00,15.0,1.0,1.0,1.0,1.0,21.0,424.2981747664118,1.0,0.0,38.43
3,0,1,0,0,25,2024-06-01,01:05:00,15.0,1.0,1.0,1.0,1.0,21.0,428.31047542697377,1.0,0.0,58.37
3,0,1,0,0,25,2024-06-01,01:06:00,15.0,1.0,1.0,1.0,1.0,21.0,369.2264367659827,1.0,0.0,67.03
3,0,1,0,0,25,2024-06-01,01:07:00,15.0,1.0,1.0,1.0,1.0,21.0,406.2469017786091,1.0,0.0,45.87
3,0,1,0,0,25,2024-06-01,01:08:00,15.0,1.0,1.0,1.0,1.0,21.0,405.80015000319503,1.0,0.0,51.3
2,0,1,0,0,25,2024-06-01,01:09:00,15.0,1.0,1.0,1.0,1.0,21.0,362.15684621293246,0.99,0.0,45.19
3,0,1,0,0,25,2024-06-01,01:10:00,15.0,1.0,1.0,1.0,1.0,21.0,443.9632376312705,1.0,0.0,64.85
3,0,1,0,0,25,2024-06-01,01:11:00,15.0,1.0,1.0,1.0,1.0,21.0,434.4755687885899,1.0,0.0,48.32
3,0,1,0,0,25,2024-06-01,01:12:00,15.0,1.0,1.0,1.0,1.0,21.0,422.74884437186734,1.0,0.0,33.04
2,0,1,0,0,25,2024-06-01,01:13:00,15.0,1.0,1.0,1.0,1.0,21.0,382.8595981440999,0.99,0.0,39.59
2,0,1,0,0,25,2024-06-01,01:14:00,15.0,1.0,1.0,1.0,1.0,21.0,367.7029686287872,0.99,0.0,55.53
2,0,1,0,0,25,2024-06-01,01:15:00,15.0,1.0,1.0,1.0,1.0,21.0,395.25967126579457,0.99,0.0,54.49
2,0,1,0,0,25,2024-06-01,01:16:00,15.0,1.0,1.0,1.0,1.0,21.0,381.6757256351971,0.99,0.0,69.93
2,0,1,0,0,25,2024-06-01,01:17:00,15.0,1.0,1.0,1.0,1.0,21.0,383.738863699349,0.99,0.0,36.97
1,0,1,0,0,25,2024-06-01,01:18:00,15.0,1.0,1.0,1.0,1.0,21.0,345.85072711362034,0.98,0.0,51.86
1,0,1,0,0,25,2024-06-01,01:19:00,15.0,1.0,1.0,1.0,1.0,21.0,328.2221476802657,0.98,0.0,38.83
1,0,1,0,0,25,2024-06-01,01:20:00,15.0,1.0,1.0,1.0,1.0,21.0,344.21212711600106,0.98,0.0,56.69
1,0,1,0,0,25,2024-06-01,01:21:00,15.0,1.0,1.0,1.0,1.0,21.0,325.8572180886948,0.98,0.0,48.66
1,0,1,0,0,25,2024-06-01,01:22:00,15.0,1.0,1.0,1.0,1.0,21.0,330.36025856734665,0.98,0.0,53.52
1,0,1,0,0,25,2024-06-01,01:23:00,15.0,1.0,1.0,1.0,1.0,21.0,330.06831362809527,0.98,0.0,53.88
1,0,1,0,0,25,2024-06-01,01:24:00,15.0,1.0,1.0,1.0,1.0,21.0,349.3557640516742,0.97,0.0,52.38
1,0,1,0,0,25,2024-06-01,01:25:00,15.0,1.0,1.0,1.0,1.0,21.0,345.6961167124378,0.97,0.0,67.4
1,0,1,0,0,25,2024-06-01,01:26:00,15.0,1.0,1.0,1.0,1.0,21.0,341.0350958477078,0.97,0.0,67.84
1,0,1,0,0,25,2024-06-01,01:27:00,15.0,1.0,1.0,1.0,1.0,21.0,341.8117028484617,0.97,0.0,54.02
1,0,1,0,0,25,2024-06-01,01:28:00,15.0,1.0,1.0,1.0,1.0,21.0,336.8621838320771,0.97,0.0,30.17
1,0,1,0,0,25,2024-06-01,01:29:00,15.0,1.0,1.0,1.0,1.0,21.0,348.4127200132556,0.97,0.0,32.15
1,0,1,0,0,25,2024-06-01,01:30:00,15.0,1.0,1.0,1.0,1.0,21.0,334.88776258647084,0.97,0.0,66.65
1,0,1,0,0,25,2024-06-01,01:31:00,15.0,1.0,1.0,1.0,1.0,21.0,331.41553129609684,0.97,0.0,41.98
1,0,1,0,0,25,2024-06-01,01:32:00,15.0,1.0,1.0,1.0,1.0,21.0,324.89106010794774,0.97,0.0,66.6
1,0,1,0,0,25,2024-06-01,01:33:00,15.0,1.0,1.0,1.0,1.0,21.0,343.58616956783175,0.97,0.0,35.09
1,0,1,0,0,25,2024-06-01,01:34:00,15.0,1.0,1.0,1.0,1.0,21.0,342.03331796226774,0.97,0.0,68.71
1,0,1,0,0,25,2024-06-01,01:35:00,15.0,1.0,1.0,1.0,1.0,21.0,331.53065115572406,0.97,0.0,35.08
1,0,1,0,0,25,2024-06-01,01:36:00,15.0,1.0,1.0,1.0,1.0,21.0,320.75580241877685,0.97,0.0,33.44
1,0,1,0,0,25,2024-06-01,01:37:00,15.0,1.0,1.0,1.0,1.0,21.0,345.1699198315403,0.97,0.0,33.3
1,0,1,0,0,25,2024-06-01,01:38:00,15.0,1.0,1.0,1.0,1.0,21.0,320.3425395036222,0.97,0.0,50.38
1,0,1,0,0,25,2024-06-01,01:39:00,15.0,1.0,1.0,1.0,1.0,21.0,341.1109933888715,0.96,0.0,53.04
1,0,1,0,0,25,2024-06-01,01:40:00,15.0,1.0,1.0,1.0,1.0,21.0,349.1077132917817,0.96,0.0,68.72
1,0,1,0,0,25,2024-06-01,01:41:00,15.0,1.0,1.0,1.0,1.0,21.0,333.1298398444461,0.95,0.0,63.96
1,0,1,0,0,25,2024-06-01,01:42:00,15.0,1.0,1.0,1.0,1.0,21.0,327.04920214987857,0.95,0.0,45.87
1,0,1,0,0,25,2024-06-01,01:43:00,15.0,1.0,1.0,1.0,1.0,21.0,341.14613030130147,0.95,0.0,40.24
1,0,1,0,0,25,2024-06-01,01:44:00,15.0,1.0,1.0,1.0,1.0,21.0,344.5138442604675,0.95,0.0,40.89
2,0,1,0,0,25,2024-06-01,01:45:00,15.0,1.0,1.0,1.0,1.0,21.0,372.78581896467085,0.96,0.0,61.42
