n_people,window1_tg,window2_tg,window3_tg,window4_tg,room_size,date,time,ext_temperature,shutter1_tg,shutter2_tg,shutter3_tg,shutter4_tg,temperature_opt,co2_opt,pressure_opt,brightness_opt,humidity_opt,window1_now,window2_now,window3_now,window4_now,shutter1_now,shutter2_now,shutter3_now,shutter4_now,temperature_now,co2_now,pressure_now,brightness_now,humidity_now
1,0,1,0,0,25,2024-06-01,00:00:01,16.7,1.0,1.0,1.0,1.0,21.0,325.58407693260045,1.0,0.0,64.92,0,0,0,0,1.0,1.0,1.0,1.0,22.397625011925154,331.71282328251164,1.1272023658062063,0.0,55.411879324189115
1,0,1,0,0,25,2024-06-01,00:01:00,16.3,1.0,1.0,1.0,1.0,21.0,329.9469409720158,1.0,0.0,42.77,0,1,0,0,0.9,0.9,1.0,0.9,19.166492758940358,374.7367915453017,0.9686869638096295,0.0,47.929555983668465
2,0,1,0,0,25,2024-06-01,00:02:00,15.8,1.0,1.0,1.0,1.0,21.0,391.3018120971961,1.01,0.0,49.84,0,1,0,0,1.0,0.9,1.0,1.0,19.453650006971994,394.60149215715757,0.8961779730975767,0.0,46.43524971482437
2,0,1,0,0,25,2024-06-01,00:03:00,15.6,1.0,1.0,1.0,1.0,21.0,352.42454855265134,1.01,0.0,68.15,0,0,0,0,0.9,1.0,1.0,1.0,18.95575080281321,352.0334826094548,0.9744068580532533,0.0,70.81012561210729
2,0,1,0,0,25,2024-06-01,00:04:00,15.4,1.0,1.0,1.0,1.0,21.0,344.26949711040595,1.01,0.0,59.99,0,1,0,0,1.0,0.9,1.0,1.0,18.855149350781367,386.3621132712186,0.9558393653483346,0.0,54.61814037416964
2,0,1,0,0,25,2024-06-01,00:05:00,15.1,1.0,1.0,1.0,1.0,21.0,344.140455556769,1.01,0.0,59.38,0,1,0,0,1.0,1.0,0.9,1.0,23.329448197196612,331.4441123576688,0.9567155514289194,0.0,54.46923201541706
2,0,1,0,0,25,2024-06-01,00:06:00,15.0,1.0,1.0,1.0,1.0,21.0,396.44707123018645,1.01,0.0,47.54,0,1,0,0,0.9,0.9,1.0,1.0,22.273747984756522,444.3205503432179,1.152789544044923,0.0,53.46348015805881
1,0,1,0,0,25,2024-06-01,00:07:00,15.0,1.0,1.0,1.0,1.0,21.0,335.20761313885504,1.0,0.0,63.21,0,1,0,0,1.0,1.0,1.0,0.9,20.244414963502198,368.6014132875885,1.1395251287212735,0.0,68.14164805070037
1,0,1,0,0,25,2024-06-01,00:08:00,15.0,1.0,1.0,1.0,1.0,21.0,332.28236215451057,1.0,0.0,66.08,0,1,0,0,1.0,0.9,1.0,1.0,18.86651517154615,320.32085765721683,0.9562143140477422,0.0,62.488914337286175
1,0,1,0,0,25,2024-06-01,00:09:00,15.0,1.0,1.0,1.0,1.0,21.0,344.3263574302375,1.0,0.0,67.47,0,0,0,1,0.9,1.0,0.9,1.0,22.229554875430885,327.88440215928983,0.8990516512647939,0.0,69.8359147164081
